S_AMPEAK_TT,S_AMOFFPEAK_TTV,S_AMOFFPEAK_TT,S_PMOFFPEAK_TT,S_PMPEAK_TT,S_EVENING_TT,S_AMOFFPEAK_OCCUPANCY,S_PMOFFPEAK_OCCUPANCY,S_PMPEAK_OCCUPANCY,D_AMPEAK_OCCUPANCY,D_AMOFFPEAK_OCCUPANCY,D_PMOFFPEAK_OCCUPANCY,folder,m0,m2,m4,m5,m7,m8,m9,m10,m15,m17,m18,m999,m1001,m1015
-0.6666666666666666,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim61,1279156,305876,18604,1032,24393,74982,18513,69695,3552,49573,62330,1970,399,86206
-0.6666666666666666,-0.6666666666666666,0.0,-1.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim62,1316790,315928,18660,1208,24256,82081,22375,72163,3691,49573,62330,1781,316,85273
-0.6666666666666666,0.0,0.0,-1.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim64,1317185,316404,18441,1214,24530,82435,22951,71674,3691,49573,62330,1817,297,85153
0.0,-1.0,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,-1.0,0.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,-1.0,0.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim66,1317289,313470,18522,1266,24788,81800,22421,68924,3566,49573,62330,1791,337,82199
0.0,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,-1.0,0.0,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim67,1314301,314183,18518,1349,24600,80794,22325,68667,3556,49573,62330,1942,318,83120
0.0,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,-1.0,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,-1.0,-1.0,-0.33333333333333337,-1.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim7,1333899,323246,17598,1159,24198,97220,22589,71970,3888,49573,62330,1715,301,85216
0.0,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-0.33333333333333337,-1.0,-1.0,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,-0.33333333333333337,0.0,0.0,0.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,0.0,0.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,0.0,-1.0,0.0,-0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,0.0,-1.0,0.0,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,-1.0,-1.0,-0.33333333333333337,-1.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim8,1333174,324074,17665,1223,24027,94833,23009,71709,3689,49573,62330,1755,327,84622
